[26-Jan-2016 01:17:41] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:41] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:41] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:41] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:57] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:57] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:57] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:57] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:59] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:17:59] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:17:59] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:17:59] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:16] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:18:16] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:18:16] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:16] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:17] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:18:17] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:18:17] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:17] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:17] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:18:17] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:18:17] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:17] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:19] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:18:19] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:18:19] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:18:19] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:26] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:19:26] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:19:26] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:26] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:28] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:19:28] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:19:28] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:28] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:34] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:19:34] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:19:34] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:34] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:35] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:19:35] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:19:35] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:35] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:42] PHP Notice:  Undefined variable: db_conntype in E:\zic\elly\services\mysql.class.php on line 23
[26-Jan-2016 01:19:42] PHP Warning:  Missing argument 2 for db_mysql::query(), called in E:\zic\elly\services\mysql.class.php on line 83 and defined in E:\zic\elly\services\mysql.class.php on line 42
[26-Jan-2016 01:19:42] PHP Notice:  Undefined variable: conn in E:\zic\elly\services\mysql.class.php on line 46
[26-Jan-2016 01:19:42] PHP Warning:  mysql_query() expects parameter 2 to be resource, null given in E:\zic\elly\services\mysql.class.php on line 46
